,T_obs,T_near_future,T_long_term
0,292.119,294.3648,302.31525
1,295.12186,298.03656,302.01212
2,296.90958,298.28677,300.70786
3,297.51953,295.86673,299.92267
4,296.36008,295.37048,300.69684
5,297.04697,297.42218,304.41144
6,300.2263,298.1593,304.5383
7,300.71838,298.8327,304.46228
8,301.62915,297.42325,306.16266
9,301.65933,295.69922,304.56598
10,299.5761,297.09808,302.6316
11,299.70398,299.43018,302.99454
12,299.4689,301.3827,301.20602
13,300.192,301.6949,300.95673
14,300.97244,301.72897,303.8571
15,300.18484,301.63217,305.70096
16,299.64005,301.13022,306.66553
17,300.06168,299.99002,306.75015
18,300.61298,299.4786,307.16367
19,299.7899,299.69452,305.9069
20,301.37332,299.75116,304.88748
21,303.86633,298.73282,301.6756
22,303.47192,299.12198,301.75256
23,294.56638,300.46198,302.69113
24,295.26218,300.53268,303.86386
25,298.64404,300.3976,304.40778
26,296.9901,301.10144,305.45023
27,294.93887,301.68732,305.91373
28,297.8162,302.83633,305.64462
29,299.52872,304.03745,304.97052
30,297.90323,304.57037,302.21533
31,296.86398,304.78925,300.3915
32,298.04712,303.35513,302.8286
33,299.5175,291.96652,305.28418
34,298.20938,288.879,307.0417
35,297.52542,289.68625,307.30844
36,299.76736,291.44412,305.9931
37,296.39084,293.57153,304.33603
38,298.32486,295.52277,304.72095
39,298.6322,296.97314,306.633
40,292.77866,297.90445,300.58334
41,295.86148,300.10126,294.53586
42,297.93936,301.051,294.1227
43,297.6788,299.58356,297.24338
44,299.88107,299.52457,300.52322
45,300.72668,300.899,302.77448
46,298.12473,301.3475,302.29333
47,294.39645,303.69598,299.55182
48,293.39566,298.47827,294.57535
49,295.13785,295.8002,295.4095
50,296.29846,292.37848,297.39935
51,296.94394,291.5366,296.91376
52,296.87466,290.4885,299.58154
53,297.908,293.19907,302.95673
54,296.6028,296.1557,303.98618
55,296.99783,298.48428,301.84256
56,298.99045,296.9891,298.83478
57,299.9918,297.1798,299.87714
58,300.7326,297.21844,301.8302
59,302.2432,299.1156,302.9833
60,294.01212,297.721,289.08493
61,296.24167,298.2921,290.95224
62,297.20804,297.74576,293.86038
63,297.25363,300.37192,296.05228
64,297.96243,302.80377,296.14078
65,297.27908,303.29376,299.81412
66,297.7173,298.18246,303.40192
67,299.44644,292.63763,299.42938
68,298.92056,293.52484,298.5497
69,299.76205,296.05753,300.67642
70,298.73996,299.25528,302.87445
71,296.18655,301.43564,304.20807
72,295.6714,303.17032,305.3212
73,297.19498,304.24786,299.64386
74,298.7388,303.47928,300.38654
75,297.07242,298.9629,300.69678
76,297.2098,297.34442,301.33862
77,293.73975,297.87018,303.5013
78,290.31583,298.9886,302.41693
79,288.59915,299.59302,303.16498
80,291.24554,299.097,302.97244
81,293.92865,300.11285,302.45926
82,295.78745,302.56464,303.20068
83,297.02267,304.56378,304.41208
84,297.4757,304.80292,304.2683
85,297.01437,301.45068,297.12375
86,296.90662,299.62695,295.73544
87,297.45972,300.64093,299.9317
88,299.11838,302.54697,302.6961
89,299.7804,304.74335,304.2243
90,299.0337,305.3679,305.7591
91,296.2014,304.00116,306.83066
92,292.96875,303.04654,305.8537
93,291.68967,303.1847,305.49164
94,295.74954,300.64334,305.4641
95,298.5327,300.40137,305.82123
96,297.45142,300.90317,307.02515
97,295.33975,300.38028,307.4716
98,295.85022,298.13043,306.18524
99,298.26505,298.24506,301.3207
100,297.7854,298.5798,302.27
101,296.55072,301.18524,303.4809
102,297.52307,300.09525,304.0939
103,298.9869,292.6266,304.3777
104,296.80533,291.4959,303.11273
105,293.73856,294.20404,301.9427
106,294.4598,297.32086,299.74567
107,296.81308,297.20197,300.48563
108,298.97623,293.117,303.0273
109,296.73135,294.23834,304.2381
110,295.7365,297.1585,304.51154
111,292.51395,296.01776,304.01434
112,293.81613,298.20804,302.9014
113,295.4706,298.81265,304.2727
114,297.1423,298.74362,307.86594
115,298.0347,298.8247,301.392
116,297.2394,295.51367,299.98407
117,297.96542,291.08966,304.81757
118,296.32986,293.29816,305.93497
119,295.97104,296.97507,304.94766
120,294.65878,295.43515,308.93298
121,295.49014,297.44287,309.08908
122,298.46756,298.5234,307.6692
123,299.24625,298.90833,307.21182
124,299.47662,298.8447,304.69586
125,295.87448,298.1175,306.38135
126,294.19037,295.03687,307.013
127,295.55887,293.27625,305.88535
128,299.79224,293.304,301.23267
129,297.7836,294.1647,301.299
130,296.27182,296.08414,303.2016
131,297.16183,297.48242,303.28436
132,298.23782,297.86606,301.64215
133,297.96896,298.03128,301.42743
134,295.36877,298.54263,300.6626
135,291.66122,298.2393,300.67032
136,292.83313,298.67758,302.09778
137,296.1907,300.16376,304.4494
138,297.78125,296.57806,305.97397
139,297.53726,296.10214,306.5599
140,297.8701,297.05936,304.4895
141,298.87204,299.66614,296.95352
142,300.099,299.95807,297.1084
143,301.20218,300.51477,300.863
144,301.4509,300.4813,303.3452
145,301.85535,296.91544,305.10025
146,301.82748,295.0711,306.21338
147,302.15854,293.9663,305.69183
148,303.30673,294.33807,305.16788
149,299.50742,293.1965,305.2537
150,290.89795,290.2791,298.0163
151,289.30026,291.4264,296.9686
152,290.8571,294.92307,297.23227
153,295.21127,297.223,298.41132
154,295.7525,295.28134,295.51535
155,295.25687,295.9406,293.21954
156,294.62204,296.28476,292.41077
157,296.31802,295.05,292.73798
158,296.51993,293.52997,295.58008
159,294.57175,289.08026,298.5063
160,294.56815,291.8936,295.64172
161,297.94943,295.90494,293.6394
162,297.75342,294.09207,291.35175
163,296.63364,296.10126,292.67188
164,295.18167,297.71637,295.03418
165,297.85587,297.67352,296.53876
166,297.89554,296.92776,297.41016
167,296.4791,299.8127,297.6366
168,298.13953,299.88385,297.80136
169,297.4834,297.04013,298.51483
170,294.03345,295.65207,300.87732
171,292.6383,295.89716,302.67764
172,291.4226,295.40845,300.39383
173,293.59702,297.79205,298.21613
174,296.44946,296.27954,298.7968
175,297.95593,297.4305,301.21915
176,298.72458,299.23486,301.3769
177,299.3582,296.6645,298.88324
178,300.11673,297.39835,300.4455
179,300.30685,298.36838,301.21573
180,293.84634,298.14447,301.8956
181,292.3375,297.40173,301.8695
182,294.45923,295.72006,301.78815
183,296.17175,298.8697,302.33408
184,296.85275,299.20056,300.4039
185,297.1719,300.06635,300.90753
186,294.54984,300.72882,302.86176
187,294.56815,300.95758,304.07562
188,295.38065,300.58685,306.77103
189,293.99673,299.597,307.52765
190,294.14835,299.78818,305.58392
191,295.1414,299.75607,301.9035
192,296.05685,300.9439,301.33197
193,296.4282,300.86224,298.14447
194,297.97842,301.4208,295.66974
195,300.28198,301.49274,296.55478
196,299.86328,299.80392,299.7315
197,295.43808,297.72748,302.87787
198,296.46667,299.0413,301.23642
199,297.73563,297.37964,298.491
200,298.4356,297.85913,297.94888
201,297.8002,300.54108,300.01236
202,294.21997,302.08267,302.73804
203,295.47415,302.35068,305.61783
204,297.85764,302.49423,306.13013
205,299.8704,302.83246,301.55627
206,301.34253,302.98212,299.16574
207,301.6268,302.9947,301.96
208,300.13034,302.76074,300.81656
209,301.44675,302.6076,301.42413
210,300.13925,303.3348,304.8177
211,299.94797,303.92242,305.49835
212,301.23355,304.1627,304.16336
213,300.05814,303.11218,301.7465
214,293.0469,301.80496,298.4655
215,294.6511,301.7013,298.90808
216,295.4505,301.58295,300.55402
217,296.938,303.3471,302.237
218,297.82565,304.49826,303.39072
219,295.926,303.3838,303.08188
220,296.3926,300.8164,299.4733
221,299.36707,297.9477,296.52646
222,297.91153,298.94644,295.59573
223,296.56674,301.78876,298.9941
224,297.55563,300.36823,301.2542
225,290.66165,297.71808,298.88214
226,292.34933,298.10184,299.8076
227,296.56674,298.60995,298.05246
228,296.7106,298.1928,299.34637
229,295.3137,298.39194,299.6219
230,295.24088,297.58224,298.19098
231,295.26572,296.8705,298.10638
232,295.2302,295.57184,297.5711
233,292.87814,294.79614,298.7304
234,291.60913,296.86398,300.28876
235,292.65073,299.1884,301.29355
236,293.86172,300.59442,301.75244
237,296.20016,299.74405,302.47025
238,297.29865,299.91583,303.8259
239,297.61545,299.41098,303.6884
240,294.41302,296.3896,298.73605
